name,price,"detail (manuf, quantity)",id
"Kycklingfilé Mörad, Fryst",99.95 kr/kg,"KRONFÅGEL, 1KG",7300322544002
Benfri Fläskkarré I Bit,115.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000408500001
Blandfärs Storpack,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA2,0KG",2000465900004
"Kycklingkebab, Fryst",85.64 kr/kg,"ELDORADO, 700G",7340083478253
Benfritt Högrev I Bit,189.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000428100007
Hamburgare Original,110.51 kr/kg,"GARANT, 452G",7311043007967
Kyckling Hel,56.95 kr/kg,"GARANT, CA1.35KG, Sverige",2359715300003
Sverigelådan,149.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,8KG",2000438800003
"Kycklingbröstfile, Fryst",69.50 kr/kg,"GARANT, 1KG",7340083434716
Nötfärs Storpack,125.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA2,0KG",2000463200007
Nötstek Av Fransyska,165.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1.2KG",2000422000006
"Chicken Nuggets, Fryst",131.29 kr/kg,"GULDFÅGELN, 350G",7313940580055
Benfria Fläskkotletter I Skivor Storpack,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000405000009
Kebab Klassisk,143.64 kr/kg,"SCHYSST KÄK, 275G, Sverige",7350090451057
Kycklingbröstfilé,169.00 kr/kg,"GULDFÅGELN, 900G, Sverige",2307116100005
Blandfärs,105.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000465800007
"Kycklingnuggets, Fryst",43.95 kr/kg,"ELDORADO, 1KG",7311043011391
Fläskfilé,239.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000405500004
Lövbiff,225.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000420300009
"Chicken Nuggets Crispy, Fryst",131.29 kr/kg,"GULDFÅGELN, 350G",7313940580154
Kebab Gyros,143.64 kr/kg,"SCHYSST KÄK, 275G, Sverige",7350090451071
Nötfärs,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000463100000
Kycklingfärs,96.19 kr/kg,"GARANT, 800G, Sweden",7340083498381
Benfri Fläskkarré I Bit Storpack,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000408400004
"Chicken Kebab, Fryst",91.90 kr/kg,"GULDFÅGELN, 500G",7313940580024
Oxstroganoff,165.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000425700002
Nötfärs Liten,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA450G",2000466900003
"Kycklingschnitzel, Fryst",124.19 kr/kg,"GULDFÅGELN, 370G",7313940580161
Kebab Kyckling,143.64 kr/kg,"SCHYSST KÄK, 275G, Sverige",7350090451064
Skinkschnitzel,139.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000400700003
Majskyckling Hel,74.95 kr/kg,"GARANT, CA1.3KG, Sverige",2307984000001
"Chicken Sticks Krispiga, Fryst",131.29 kr/kg,"GULDFÅGELN, 350G",7313940580062
Kycklingfärs,103.93 kr/kg,"GULDFÅGELN, 750G, Sverige",7313940013119
Oxgrytbitar,155.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000425100000
Benfri Fläskkotlett I Bit,94.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000404700009
"Kycklingbröstfilé, Fryst",81.06 kr/kg,"ELDORADO, 900G",7340083410956
Kebab Big Pack,154.45 kr/kg,"SCHYSST KÄK, 550G, Sweden",7350090451750
Kycklinglårfilé,169.00 kr/kg,"GULDFÅGELN, 900G, Sverige",2307136100009
Fläskfärs,89.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000465000001
"Kycklingköttbullar, Fryst",49.95 kr/kg,"ELDORADO, 1KG",7311043011377
Fläskfilé Storpack,229.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,5KG",2000406200002
Benfritt Högrev Storpack,185.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1.6KG",2000428400008
"Kycklingklubba, Fryst",36.95 kr/kg,"GARANT, 1KG",7340083462214
Original Ribs,154.64 kr/kg,"TEXAS LONGHORN, 420G, Sverige",7330836311159
Blandfärs Liten,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA450G",2000466200004
Fläsklägg Med Ben,54.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000412000009
Kycklingfilé Minutstrimlor,136.27 kr/kg,"KRONFÅGEL, 550G, Sverige",7300328521007
"Tacokyckling, Fryst",166.58 kr/kg,"GULDFÅGELN, 600G",7313940267543
Grytbitar Av Högrev,195.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2091193500000
Fläskfärs Storpack,84.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA2,0KG",2000465100008
Revben Av Bog,69.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000413100005
"Buffalo Wings, Fryst",91.90 kr/kg,"GULDFÅGELN, 500G",7313940574504
Pulled Pork,109.00 kr/kg,"GARANT, 550G, Sverige",7340083437564
Kycklingfilé,151.39 kr/kg,"GARANT, 720G, Sverige",7340083498428
"Chicken Drumsticks Grill, Fryst",91.90 kr/kg,"GULDFÅGELN, 500G",7313940574900
Hamburgerfärs Av Högrev,189.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000466800006
Sidfläsk I Bit Storpack,105.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000411900003
Lövbiff Storpack,219.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000420400006
"Chicken Drumsticks BBQ, Fryst",91.90 kr/kg,"GULDFÅGELN, 500G",7313940574603
Pepparbiff Storpack,239.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000421500002
Kycklingklubbor,59.95 kr/kg,"GARANT, CA900G, Sverige",2359769400001
Kalvfärs,159.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000466100007
Fläskstek Benfri,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000412600001
"Kycklingburgare Crispy, Fryst",131.51 kr/kg,"GULDFÅGELN, 760G",7313940580093
Ryggbiff I Skivor,379.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000426300003
Kycklingbröstfilé Grillad & Skivad,224.75 kr/kg,"GULDFÅGELN, 200G, Sverige",7313940027000
"Salladskyckling, Fryst",195.90 kr/kg,"GULDFÅGELN, 500G",7313940267505
Fläskfärs Liten,94.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA450G",2000464500007
Skivat & Klartlådan,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,5KG",2000464100009
Kycklingfilé Naturell Tvådelad,149.00 kr/kg,"GULDFÅGELN, CA750G, Sverige",2307111200007
"Kycklingburgare, Fryst",66.61 kr/kg,"ELDORADO, 900G",7311043011384
Oxgrytstek Av Ytterlår,145.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000425000003
Högrevsfärs Grovmalen,189.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000464400000
Fläskytterfile,125.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000404800006
Grillad Kycklinginnerfilé BBQ,224.75 kr/kg,"GULDFÅGELN, 200G, Sverige",7313940027048
"Kycklinginnerfilé, Fryst",92.79 kr/kg,"KRONFÅGEL, 700G",7300322510007
Kycklingbröstfilé Strimlad,173.17 kr/kg,"GARANT, 300G, Sverige",7340083452093
Nötfärs KRAV,189.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000462900007
Benfria Fläskkotletter I Skivor,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000404900003
"Kycklingbröstfilé, Fryst",64.50 kr/kg,"ELDORADO, 2KG",7340083434976
Oxgrytbitar Storpack,149.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000425200007
Vitlöksbiff Storpack,249.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000421600009
"Chicken Drumsticks Bbq, Fryst",79.50 kr/kg,"GULDFÅGELN, 2KG",7313940017063
Kycklingfärs,99.90 kr/kg,"KRONFÅGEL, 500G, Sweden",7300327689005
Fläskytterfilé Storpack,119.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000406600000
Kycklinginnerfiléer Små & Fina,149.92 kr/kg,"KRONFÅGEL, 600G, Sverige",7300328590003
"Kycklinglår, Fryst",36.95 kr/kg,"GARANT, 1KG",7340083462238
Entrecôte I Skivor,379.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000427100008
Karré Plommonspäckad,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2091245700006
Nötfärs 10%,161.25 kr/kg,"SILJANS CHARK, 800G",7316670042145
Revben Av Bog Storpack,69.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000417100001
"Kycklingfilé Mörad, Fryst",99.50 kr/kg,"KRONFÅGEL, 2KG",7300322624001
Kycklingben Kryddmarinerade,69.95 kr/kg,"GARANT, CA1,8KG, Sverige",2359769500008
Grytbitar Av Nötstek,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000458400009
"Grillade Kycklingspett Grill, Fryst",179.33 kr/kg,"GULDFÅGELN, 1,5KG",7313940026188
Lammfärs,199.88 kr/kg,"SCAN, 400G, Sverige",7300207727001
Benfri Skinkstek,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000400500009
Hamburgare Tex Mex 4-Pack,110.51 kr/kg,"GARANT, 452G, Sverige",7340083494796
"Kycklingklubbor, Fryst",28.98 kr/kg,"ELDORADO, 2KG",7340083434983
Kycklingminutbitar,136.27 kr/kg,"KRONFÅGEL, 550G, Sverige",7300328527009
Nötfärs 10%,174.88 kr/kg,"SILJANS CHARK, CA400G, Sweden",7316670042138
Sidfläsk I Bit,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000410900004
Entrecôte I Bit,369.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000427000001
"Kycklingben, Fryst",36.95 kr/kg,"GARANT, 1KG",7340083462207
Högrevsburgare,172.46 kr/kg,"SCAN, 452G, Sweden",7300206180005
Nöt & Grönt,79.90 kr/kg,"GARANT, 500G, Sverige",7311043004508
Sidfläsk Skivat,115.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000411000000
"Kycklinglårfile, Fryst",121.36 kr/kg,"KRONFÅGEL, 700G",7300322557002
Kycklinglårfilé,158.82 kr/kg,"GARANT, CA850G, Sverige",7340083498367
Rostbiffstek,219.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000424000004
"Kycklinginnerfilé, Fryst",88.50 kr/kg,"GARANT, 700G",7340083434723
Nötfärs 12%,125.00 kr/kg,"GARANT, CA 1KG, Sverige",2355022200005
Fläskschnitzel Av Picnicbog,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000412900002
Hamburgare Av Högrev,199.83 kr/kg,"GARANT, 300G, Sverige",7340045507663
"Kycklingvingar, Fryst",36.95 kr/kg,"GARANT, 1KG",7340083462221
Kycklingben,59.95 kr/kg,"GARANT, CA900G, Sverige",2359769300004
Flankstek,269.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000430000005
Blandfärs 20%,99.95 kr/kg,"GARANT, CA 1.0KG, Sverige",2355021900005
Fläskschnitzel Storpack,105.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000413200002
"Kycklingöverlår, Fryst",29.69 kr/kg,"ELDORADO, 1,75KG",7340083444128
Pulled Pork,139.89 kr/kg,"TULIP, 450G, Sverige",5707196299243
Kycklingminutfilé,124.92 kr/kg,"KRONFÅGEL, 600G, Sverige",7300328530009
"Kycklingnuggets, Fryst",96.19 kr/kg,"KRONFÅGEL, 800G",7300323185006
Benfria Fläskkarrékotletter Storpack,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000408700005
Ryggbiff I Bit,369.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000426200006
"Kycklingburgare Krispig, Fryst",158.98 kr/kg,"KRONFÅGEL, 440G",7300321373009
Pulled Turkey,155.44 kr/kg,"TULIP, 450G, Tyskland",5707196330212
Fläskgrytbitar Av Bog,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000413000008
Majskycklingfilé,175.00 kr/kg,"GARANT, CA 750G, Sverige",2307983900005
"Kycklinglårfilé, Fryst",92.79 kr/kg,"ELDORADO, 700G",7340083490163
Oxstroganoff Storpack,159.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000425800009
Sidfläsk Skivat Storpack,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000411100007
"Kycklinglever, Fryst",67.90 kr/kg,"KRONFÅGEL, 500G",7300327138008
Kickin' Ribs,154.64 kr/kg,"TEXAS LONGHORN, 420G",7330836311166
Kycklingbröstfilé,139.00 kr/kg,"GARANT, CA850G, Sverige",2359634700007
"Stekt Kycklingkebab, Fryst",158.25 kr/kg,"KRONFÅGEL, 600G",7300321271008
Kotlettschnitzel,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000411500005
Oxfilé I Skivor,549.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000430400003
"Kycklingfilé Delad, Fryst",91.19 kr/kg,"ELDORADO, 800G",7340083488467
Hamburgare Nöt & Grönt,132.52 kr/kg,"GARANT, 226G",7311043007950
Kycklinglår,74.95 kr/kg,"GARANT, CA900G, Sverige",2359769200007
Benfri Fläskkotlett I Bit Storpack,94.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA2KG",2000406500003
"Kycklingpinnar, Fryst",132.38 kr/kg,"KRONFÅGEL, 400G",7300323182005
Ryggbiff Skivat Storpack,375.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000426400000
Pepparbiff,249.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2091248000004
"Kycklingköttbullar, Fryst",98.25 kr/kg,"KRONFÅGEL, 600G",7300327552002
Benfria Fläskkarrékotletter,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000408600008
Kycklingklubbfilé,129.00 kr/kg,"GARANT, CA850G, Sverige",2359769100000
"Kycklingnuggets, Fryst",158.98 kr/kg,"KRONFÅGEL, 440G",7300321372002
Oxfilé Mittbit,569.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000421100004
Grytbitar Av Bog Storpack,105.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000417000004
Minutkyckling Stekt/Tärnad,234.75 kr/kg,"KRONFÅGEL, 200G, Sverige",7300324051003
"Kalkonfärs, Fryst",119.90 kr/kg,"INGELSTA KALKON, 500G",7331044081001
Kycklingbröstfilé,169.00 kr/kg,"GARANT, CA400G, Sverige",2359773400004
Kotletter Med Ben Storpack,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,4KG",2000404400008
